PRISM Time Series Data
Location:  Lat: 35.6727   Lon: -111.4810   Elev: 1582m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,14.61,-4.1,2.3,8.8
February,14.03,-2.3,4.9,12.1
March,15.43,1.0,8.7,16.4
April,11.87,4.0,12.3,20.6
May,8.92,8.7,17.3,25.9
June,4.99,14.0,23.2,32.3
July,28.26,17.7,25.8,33.8
August,30.74,16.8,24.5,32.2
September,24.86,12.7,20.8,28.8
October,20.12,6.2,14.1,22.1
November,8.15,-0.1,7.1,14.4
December,11.39,-4.6,1.9,8.4
Annual,193.37,5.8,13.6,21.3
