PRISM Time Series Data
Location:  Lat: 35.4329   Lon: -110.8475   Elev: 1510m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-08-19 - 2019-10-04
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-08-19,0.00,17.1,26.4,35.7
2019-08-20,0.00,18.5,27.6,36.7
2019-08-21,0.00,19.7,28.6,37.6
2019-08-22,0.00,20.7,29.5,38.3
2019-08-23,0.00,21.2,28.5,35.8
2019-08-24,0.00,17.7,26.4,35.0
2019-08-25,0.00,17.5,26.3,35.1
2019-08-26,0.00,16.8,27.1,37.4
2019-08-27,0.00,15.9,26.8,37.7
2019-08-28,0.71,20.4,29.1,37.8
2019-08-29,0.00,22.0,29.3,36.6
2019-08-30,0.00,17.2,26.1,35.1
2019-08-31,0.00,19.6,29.1,38.6
2019-09-01,0.00,17.2,27.5,37.8
2019-09-02,0.00,19.8,28.8,37.9
2019-09-03,0.00,19.3,27.5,35.6
2019-09-04,0.02,19.4,27.9,36.4
2019-09-05,0.15,18.3,26.9,35.6
2019-09-06,0.00,15.9,25.4,34.8
2019-09-07,0.00,17.8,26.6,35.4
2019-09-08,0.00,20.7,27.2,33.7
2019-09-09,0.00,15.9,23.3,30.7
2019-09-10,0.00,16.2,23.5,30.8
2019-09-11,0.92,15.7,22.8,29.9
2019-09-12,0.00,10.0,19.6,29.2
2019-09-13,0.00,10.2,19.1,28.0
2019-09-14,0.00,10.4,21.2,31.9
2019-09-15,0.00,14.5,23.9,33.3
2019-09-16,0.00,12.7,19.1,25.4
2019-09-17,0.00,14.0,22.1,30.2
2019-09-18,0.00,14.9,22.5,30.1
2019-09-19,0.00,13.6,22.3,31.0
2019-09-20,0.00,13.0,21.6,30.3
2019-09-21,0.00,10.0,19.4,28.7
2019-09-22,0.00,7.8,17.6,27.5
2019-09-23,0.00,6.0,17.5,29.0
2019-09-24,14.29,10.2,14.9,19.6
2019-09-25,0.00,10.2,16.5,22.7
2019-09-26,0.00,11.4,19.2,26.9
2019-09-27,0.00,12.6,19.2,25.8
2019-09-28,0.00,11.5,19.4,27.3
2019-09-29,0.00,12.7,20.0,27.4
2019-09-30,0.00,14.0,19.9,25.8
2019-10-01,0.00,10.1,19.1,28.1
2019-10-02,0.00,9.2,17.7,26.2
2019-10-03,0.00,5.0,15.7,26.3
2019-10-04,0.00,5.1,16.9,28.8
