PRISM Time Series Data
Location:  Lat: 38.2945   Lon: -109.0645   Elev: 2201m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2019-04-26 - 2019-05-16
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Sep-27
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2019-04-26,0.00,6.3,13.0,19.6
2019-04-27,0.84,6.2,13.4,20.6
2019-04-28,0.36,6.8,13.6,20.4
2019-04-29,0.09,6.0,13.0,20.1
2019-04-30,18.90,2.7,7.4,12.2
2019-05-01,8.46,0.4,6.0,11.7
2019-05-02,0.55,-0.9,3.7,8.4
2019-05-03,0.00,0.2,6.6,13.1
2019-05-04,0.00,2.1,8.6,15.0
2019-05-05,0.00,4.4,11.3,18.2
2019-05-06,0.00,5.9,12.8,19.6
2019-05-07,0.00,5.4,12.5,19.6
2019-05-08,0.12,4.2,10.8,17.5
2019-05-09,3.96,0.4,5.3,10.2
2019-05-10,1.03,0.7,5.1,9.4
2019-05-11,1.97,1.2,5.0,8.9
2019-05-12,0.00,2.1,8.8,15.5
2019-05-13,0.00,5.3,12.0,18.8
2019-05-14,0.00,7.5,14.6,21.6
2019-05-15,0.00,8.4,15.6,22.7
2019-05-16,0.00,9.1,15.4,21.7
