Code,Name,Native,Duration,Lifeform,CodeOriginal
0,0,0,0,0,0
ABPA3,Abutilon parvulum,Native,Perennial,Forb,ABPA3
ACHY,Achnatherum hymenoides,Native,Perennial,Grass,ACHY
ACMI2,Achillea millefolium,Native/Unknown,Perennial,Forb,ACMI2
ACMIS,Acmispon (Lotus),Native,Unknown,Forb,ACMIS
ACNA2,Acourtia nana,Native,Perennial,Forb,ACNA2
ALIN,Allionia incarnata,Native,Unknown,Forb,ALIN
AMCH3,Ammocodon chenopodioides,Native,Perennial,Forb,AMCH3
AMCO3,Ambrosia confertiflora,Native,Perennial,Forb,AMCO3
AMDE4,Ambrosia deltoidea,Native,Perennial,Shrub,AMDE4
AMDU2,Ambrosia dumosa,Native,Perennial,Shrub,AMDU2
AMMEI2,Amsinckia menziesii,Native,Annual,Forb,AMMEI2
AMPA,Amaranthus palmeri,Native,Annual,Forb,AMPA
AMSIN,Amsinckia,Native,Annual,Forb,AMSIN
AMTE3,Amsinckia tessellata,Native,Annual,Forb,AMTE3
AMTO3,Ambrosia tomentosa,Native,Perennial,Forb,AMTO3
ANCR2,Anoda cristata,Native,Annual,Forb,ANCR2
ARAD,Aristida adscensionis,Native,Annual,Grass,ARAD
ARFR4,Artemisia frigida,Native,Perennial,Shrub,ARFR4
ARNE2,Argythamnia neomexicana,Native,Unknown,Forb,ARNE2
ARPU9,Aristida purpurea,Native,Perennial,Grass,ARPU9
ARTE3,Aristida ternipes,Native,Perennial,Grass,ARTE3
ARWA,Aristolochia watsonii,Native,Perennial,Forb,ARWA
ASNU4,Astragalus nuttallianus,Native,Unknown,Forb,ASNU4
ASNU5,Astragalus nuttallii,Introduced,Perennial,Forb,ASNU5
ASTU,Asclepias tuberosa,Native,Perennial,Forb,ASTU
ATCA2,Atriplex canescens,Native,Perennial,Shrub,ATCA2
ATCO,Atriplex confertifolia,Native,Perennial,Shrub,ATCO
AVFA,Avena fatua,Introduced,Annual,Grass,AVFA
BAAB,Bahia absinthifolia,Native,Perennial,Forb,BAAB
BAHI,Balsamorhiza hookeri,Native,Perennial,Forb,BAHI
BAMU,Baileya multiradiata,Native,Unknown,Forb,BAMU
BOAR,Bouteloua aristidoides,Native,Annual,Grass,BOAR
BOBA2,Bouteloua barbata,Native,Annual,Grass,BOBA2
BOBAB3,Bouteloua barbata v. barbata,Native,Annual,Grass,BOBAB3
BOCO,Boerhavia coccinea,Native,Perennial,Forb,BOCO
BOCU,Bouteloua curtipendula,Native,Perennial,Grass,BOCU
BOER4,Bouteloua eriopoda,Native,Perennial,Grass,BOER4
BOERH2,Boerhavia,Native,Unknown,Forb,BOERH2
BOGR2,Bouteloua gracilis,Native,Perennial,Grass,BOGR2
BOIN,Boerhavia intermedia,Native,Annual,Forb,BOIN
BOIN3,Bowlesia incana,Native,Annual,Forb,BOIN3
BORA,Bouteloua radicosa,Native,Perennial,Grass,BORA
BORO2,Bouteloua rothrockii,Native,Perennial,Grass,BORO2
BOSI2,Bouteloua simplex,Native,Annual,Grass,BOSI2
BRDI3,Bromus diandrus,Introduced,Unknown,Grass,BRDI3
BRNI,Brassica nigra,Introduced,Annual,Forb,BRNI
BRRU2,Bromus rubens,Introduced,Annual,Grass,BRRU2
BRTE,Bromus tectorum,Introduced,Annual,Grass,BRTE
CACI2,Calandrinia ciliata,Native,Annual,Forb,CACI2
CACLL,Camissonia claviformis,Native,Annual,Forb,CACLL
CAEXE,Castilleja exserta,Native,Annual,Forb,CAEXE
CANU3,Calochortus nuttallii,Native,Perennial,Forb,CANU3
CEME2,Centaurea melitensis,Introduced,Annual,Forb,CEME2
CETE5,Ceratocephala testiculata,Introduced,Annual,Forb,CETE5
CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,CHAL11
CHBR,Chorizanthe brevicornu,Native,Annual,Forb,CHBR
CHCO2,Chamaesaracha coronopus,Native,Perennial,Forb,CHCO2
CHER2,Chaetopappa ericoides,Native,Perennial,Forb,CHER2
CHFR3,Chenopodium fremontii,Native,Annual,Forb,CHFR3
CHHY3,Chamaesyce hyssopifolia,Native,Unknown,Forb,CHHY3
CHIN2,Chenopodium incanum,Native,Annual,Forb,CHIN2
CHPO12,Chamaesyce polycarpa,Native,Unknown,Forb,CHPO12
CHTE2,Chorispora tenella,Introduced,Annual,Forb,CHTE2
CHVI4,Chloris virgata,Native,Annual,Grass,CHVI4
CHWA,Chenopodium watsonii,Native,Annual,Forb,CHWA
CLLU2,Cleome lutea,Native,Annual,Forb,CLLU2
COAU2,Corydalis aurea,Native,Annual,Forb,COAU2
COCA5,Conyza canadensis,Native,Annual,Forb,COCA5
COCA8,Coreopsis califonica,Native,Annual,Forb,COCA8
COEQ,Convolvulus equitans,Native,Unknown,Forb,COEQ
CRAN4,Cryptantha angustifolia,Native,Annual,Forb,CRAN4
CRBA5,Cryptantha barbigera,Native,Annual,Forb,CRBA5
CRCO34,Crassula connata,Native,Annual,Forb,CRCO34
CRCR3,Cryptantha crassisepala,Native,Annual,Forb,CRCR3
CRPO5,Croton pottsii,Native,Perennial,Forb,CRPO5
CRSE11,Croton setigerus,Native,Annual,Forb,CRSE11
CYAC,Cymopterus acaulis,Native,Perennial,Forb,CYAC
DACA7,Dalea candida,Native,Perennial,Forb,DACA7
DAPU3,Daucus pusillus,Native,Annual,Forb,DAPU3
DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,DAPU7
DeadStem,Dead stem,Unknown,Unknown,Forb,DeadStem
DEPI,Descurainia pinnata,Native,Unknown,Forb,DEPI
DESO2,Descurainia sophia,Introduced,Annual,Forb,DESO2
DICA14,Dichelostemma capitatum,Native,Perennial,Forb,DICA14
DICA8,Digitaria californica,Native,Perennial,Grass,DICA8
DRCU,Draba cuneifolia,Native,Annual,Forb,DRCU
DRCUI,Draba cuneifolia,Native,Annual,Forb,DRCUI
ELEL5,Elymus elymoides,Native,Perennial,Grass,ELEL5
ELTR7,Elymus trachycaulus,Native,Perennial,Grass,ELTR7
ELWA2,Elymus wawawaiensis,Native,Perennial,Grass,ELWA2
ENDE,Enneapogon desvauxii,Native,Perennial,Grass,ENDE
ENFA,Encelia farinosa,Native,Perennial,Shrub,ENFA
ERAB2,Eriogonum abertianum,Native,Annual,Forb,ERAB2
ERCI,Eragrostis cilianensis,Introduced,Annual,Grass,ERCI
ERCI2,Eragrostis ciliaris,Introduced,Annual,Grass,ERCI2
ERCI6,Erodium cicutarium,Introduced,Annual,Forb,ERCI6
ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,ERCU2
ERDI2,Eriastrum diffusum,Native,Annual,Forb,ERDI2
ERER2,Eriastrum eremicum,Native,Annual,Forb,ERER2
ERFA2,Eriogonum fasciculatum,Native,Perennial,Forb,ERFA2
ERIAS,Eriastrum,Native,Unknown,Forb,ERIAS
ERIN4,Eriogonum inflatum,Native,Unknown,Forb,ERIN4
ERLA12,Ericameria laricifolia,Native,Perennial,Shrub,ERLA12
ERLE,Eragrostis lehmanniana,Introduced,Perennial,Grass,ERLE
ERPA11,Eriogonum palmerianum,Native,Annual,Forb,ERPA11
ERPO4,Eriogonum polycladon,Native,Annual,Forb,ERPO4
ERRA3,Eriogonum racemosum,Native,Perennial,Forb,ERRA3
ERSU,Eragrostis superba,Introduced,Perennial,Grass,ERSU
ERTR8,Eriogonum trichopes,Native,Annual,Forb,ERTR8
ERVE5,Eruca vesicaria,Introduced,Annual,Forb,ERVE5
ESCA2,Eschscholzia californica,Native,Unknown,Forb,ESCA2
ESCAM,Eschscholzia californica,Native,Unknown,Forb,ESCAM
EUAB,Chamaesyce abramsiana,Native,Annual,Forb,EUAB
EUME3,Chamaesyce melanadenia,Native,Perennial,Forb,EUME3
EVAR,Evolvulus arizonicus,Native,Perennial,Forb,EVAR
GIST,Gilia stellata,Native,Annual,Forb,GIST
GLGO,Glandularia gooddingii,Native,Perennial,Forb,GLGO
GNPA,Gnaphalium palustre,Native,Annual,Forb,GNPA
GUSA2,Gutierrezia sarothrae,Native,Perennial,Shrub,GUSA2
HAGL,Halogeton glomeratus,Introduced,Annual,Forb,HAGL
HAPAA,Harpagonella palmeri,Native,Annual,Forb,HAPAA
HEBO,Hedysarum boreale,Native,Perennial,Forb,HEBO
HECI,Helianthus ciliaris,Native,Perennial,Forb,HECI
HECO26,Hesperostipa comata,Native,Perennial,Grass,HECO26
HEHIC,Herniaria hirsuta,Introduced,Annual,Forb,HEHIC
HEMU3,Heliomeris multiflora,Native,Perennial,Forb,HEMU3
HIIN3,Hirschfeldia incana,Introduced,Unknown,Forb,HIIN3
HOGL2,Hoffmannseggia glauca,Native,Perennial,Forb,HOGL2
HOMU,Hordeum murinum,Introduced,Annual,Grass,HOMU
HOPU,Hordeum pusillum,Native,Annual,Grass,HOPU
IPLO2,Ipomopsis longiflora,Native,Annual,Forb,IPLO2
KAGR,Kallstroemia grandiflora,Native,Annual,Forb,KAGR
