Region,Site,CodeOriginal
Sonoran SE,SRER,1 BOCU
Sonoran SE,SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed
Sonoran SE,SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2)
Sonoran SE,Patagonia,3 individual ARPUs  and a BOCU
Sonoran SE,Patagonia,3 small ARPUs 1 on north border of subplot and other 2 in southwest section of plot
Sonoran SE,SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU
Sonoran SE,SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge"
Sonoran SE,Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot
Sonoran SE,SRER,A few possible ARPUs (2 certainty) or other ARsp. (ARTE)
Sonoran SE,Patagonia,A few possible small SPCR in/around some of the pits
Chihuahuan,Creosote,ACCH
Colorado Plateau,Spiderweb,ALNI
Sonoran SE,Patagonia,ARPU a few individuals
Sonoran SE,Patagonia,ARPU a few small tufts and 1 taller
Sonoran SE,Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base
Sonoran SE,Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual"
Sonoran SE,Patagonia,ARPU many small tufts and some with seed
Sonoran SE,Patagonia,ARPU multiple individuals
Sonoran SE,Patagonia,ARPU numerous individuals
Sonoran SE,Patagonia,ARPU small tufts and a tall individual
Colorado Plateau,FlyingM,ATSPP
Sonoran SE,Patagonia,At least 10 ARPUs throughout small to large in size
Sonoran SE,SRER,BOCUs up to this point could also possibly be slender grama BORE or purple BORA
Sonoran SE,Patagonia,BOER (2 certainty) on edge of the southwest pit
Sonoran SE,Patagonia,BOER in center/near southwest conmod possibly 5-8
Colorado Plateau,Spiderweb,BOUBAR
Sonoran SE,SRER,BOsp. a lot of possibly BOCU but could also be BORE or BORA
Sonoran SE,Patagonia,Blue grama BOGR in the S half of the plot don't confuse with black grama BOER
Sonoran SE,Patagonia,Bouteloua on W edge but almost positive it's BOGR (blue gramma) not BOER (black gramma)
Mojave,AVRCD,CRSE1
Sonoran SE,Patagonia,Couple big ARPUs and a few small ones throughout
Sonoran SE,SRER,Couple extra large BOCUs
Sonoran SE,SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot
Sonoran SE,Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant
Colorado Plateau,Spiderweb,DASPUL
Utah,UtahPJ,Dormant shrubs
Colorado Plateau,BabbittPJ,ELEL5 (seeded)
Colorado Plateau,BabbittPJ,ELEL5 (unseeded)
Colorado Plateau,BabbittPJ,ELSP
Colorado Plateau,BabbittPJ,ELSP (seeded)
Colorado Plateau,BabbittPJ,ELTR7 (seeded)
Colorado Plateau,BabbittPJ,ELWA
Colorado Plateau,BabbittPJ,ELWA2 (seeded)
Sonoran SE,SRER,Extra large BOCU
Sonoran SE,SRER,Extra large BOER in S half and medium sized one next to NE plot  corner that partially hangs in and at least 2 small ones within the plot as well
Sonoran SE,SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit
Colorado Plateau,BabbittPJ,HCI
Sonoran SE,SRER,HEMU
Colorado Plateau,PEFO,HOIN
Colorado Plateau,MOWE,HYVE
Sonoran SE,Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods
Sonoran SE,SRER,Large and medium BOCUs in plot
Chihuahuan,Creosote,Lesquerella sp.
Utah,CRC,"Lots of unknown grasses, potentially S-PASM"
Sonoran SE,Patagonia,MATA is the SW corner
Sonoran SE,Patagonia,MATA seedling in southwest section
Sonoran SE,SRER,Medium BOCU mostly rooted outside of the SW side of the plot butr partially in with some overhang
Sonoran SE,Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)"
Sonoran SE,SRER,Medium sized BOCU and ARPU
Sonoran SE,Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well
Sonoran SE,Patagonia,Might possibly be a small POSE
Sonoran SE,Patagonia,More Blue grama Don't confuse with Black
Sonoran SE,SRER,More of what we called BOCU in last plot
Sonoran SE,Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits"
Sonoran SE,SRER,Multiple BOCU's medium-large and a possible medium sized ARPU
Sonoran SE,SRER,Multiple med to extra large BOCUs and a few small to large ARPUs
Sonoran SE,Patagonia,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits
Sonoran SE,Patagonia,Multiple medium to large ARPU and small/medium BOCU near the NE corner and a couple tiny SECOs
Sonoran SE,Patagonia,Multiple small to large ARPUs throughout along with a large BAMU in center and a medium sized BOCU in the NW section
Sonoran SE,Patagonia,Multiple small to medium ARPUs and BOCUs along with a possible PLMU (rough feeling leaves and similar seeds) with a couple small/medium BAMU that are in or near the N half of the pits and a couple small SECO seedlings sprinkled throughout
Sonoran SE,Patagonia,None seeded
Sonoran SE,Patagonia,Not in the Med mix but there are a couple young SECOs
Utah,CRC,Not recorded
Utah,UtahPJ,Not recorded
Utah,Salt_Desert,Not recorded
Colorado Plateau,BabbittPJ,PASM (maybe)
Sonoran SE,SRER,PEPA (possibly)
Colorado Plateau,BabbittPJ,PSSP6 (maybe)
Sonoran SE,Patagonia,Possible ACHY near southwest corner (2 certainty) and about 10 ARPU small to medium in size with 2 of them next to the subplot but not quite in
Sonoran SE,SRER,"Possible ARPUs, SECO seedling in subplot"
Sonoran SE,SRER,Possible BOCUs but not in this mix
Sonoran SE,SRER,Possible Boutelouas not sure if BOER because they've been grazed down
Sonoran SE,SRER,Possible Poa secunda POSE just outside of NE plot corner but not in/overhanging yet due to small size
Utah,CRC,Possible S-PASM seedlings
Sonoran SE,Patagonia,"Possible SPCR in subplot, Blue not Black grama"
Sonoran SE,Patagonia,"Possible couple small ASTUs along with multiple medium to extra large ARPUs, possibly a few BAMU seedlings as well as a couple tiny to small SECOs throughout"
Sonoran SE,SRER,Possible young BOCU and ARPU but no seed heads yet therfor unsure ifit is than seeded species cover is 1% but if not it's trace amount because of a few SECOs all found in or near pits
Sonoran SE,SRER,Possibly 2 BOCUs (2 certainty) but very little green left to help identify
Sonoran SE,SRER,Possibly 3 small BOER (1 certainty) or other BOsp.
Sonoran SE,SRER,Possibly a BOCU but has been grazed down completely and hard to confirm
Sonoran SE,Patagonia,Possibly a BOER if not than other BOsp. possibly BOGR
Sonoran SE,Patagonia,Possibly a small SPCR in the S half
Sonoran SE,SRER,Possibly a young ASTU if not seeded species cover is 0%
Sonoran SE,Patagonia,"Possibly small POSE and SPCR in the S half of the plot, BLUE grama not BLACK"
Sonoran SE,SRER,Potentially 3 or 4 BOCU (1 certainty) and possibly an ARPU (2) or othe ARsp. hard to be certain because all the grasses have been grazed down to nubs
Sonoran SE,SRER,Probable BOCUs with apparent grazing
Sonoran SE,SRER,Quite a few small tp extra large BOCUs throughout along with a possible ASTU
Utah,UtahPJ,Regrowth
Utah,UtahPJ,Regrowth of SPGR
Colorado Plateau,FlyingM,SALRE
Colorado Plateau,FlyingM,SARE
Colorado Plateau,BarTBar,SATR
Mojave,29_Palms,SCHSPP
Colorado Plateau,Spiderweb,SUNFO
Colorado Plateau,PEFO,SUNGR1
Sonoran SE,Patagonia,SW conmod is overgrown with Blue grama but NO black grama but thee's a possible young PEPA by the NW conmod
Sonoran SE,SRER,Small POSE near SW pit
Sonoran SE,Patagonia,Small to large ARPUs and BOCUs along with a couple small SECOs as well as a possible PLMU in the middle (rough feeling and membranous ligule but no seed heads)
Sonoran SE,Patagonia,Small to large ARPUs throughout along with a tiny baby SECO seedling in SE section
Sonoran SE,Patagonia,Small to large ARPUs throughout and a couple of small SECOs
Sonoran SE,Patagonia,Small to medium ARPUs throughout and a few tiny to small SECOs mostly near the conmods
Sonoran SE,Patagonia,Small to medium ARPUs throughout and small/medium BAMU near the NE edge
Sonoran SE,Patagonia,Small to medium/large ARPUs throughout especially in the S half of the plot
Sonoran SE,Patagonia,Small/medium to large ARPUs and small to large BOCU throughout
Sonoran SE,SRER,Some possible ARPUs (2 certainty) or ARsp. (ARTE). Mostly dried still or grazed down.
Sonoran SE,SRER,Some type of Aristida possibly and ARPU and maybe 1 small maybe BOCU near subplot that's been grazed down
Sonoran SE,Patagonia,Southwest pit has 1 BAMU and 4 small ARPUs. Northwest pit has 2 medium and 2 small ARPUs and 1 dreid up SECO. There are a few more small to medium sized ARPUs throughout
Colorado Plateau,Spiderweb,Sporobolus
Colorado Plateau,BabbittPJ,UNAM
Colorado Plateau,BarTBar,UNFO15
Colorado Plateau,BarTBar,UNFO18
Sonoran SE,SRER,UNGR-2 possibly a Bouteloua (BOCU?) Maybe PLJA? (never seen)
Colorado Plateau,Spiderweb,UNK_AMARANTH
Chihuahuan,Mesquite,Unk Grass
Colorado Plateau,BabbittPJ,UnkAster
Sonoran Central,Roosevelt,VEPE2
Sonoran SE,Patagonia,none seeded
