Region,Site,CodeOriginal,CodeOriginal_2x2,Code,Code_2x2,Name,Name_2x2,Native,Native_2x2,Duration,Duration_2x2,Lifeform,Lifeform_2x2
Colorado Plateau,BarTBar,AMASPP,AMASPP,AMASPP.BarTBar,AMASPP.BarTBar,"Amaranthus spp., BarTBar","Amaranthus spp., BarTBar",Native/Unknown,Unknown,Unknown,Unknown,Forb,Forb
Sonoran SE,SRER,ARISPP,ARISPP,ARISPP.SRER,ARISPP.SRER,"Aristida spp., SRER","Aristida spp., SRER",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,FlyingM,AmaranthusSpp,AmaranthusSpp,AmaranthusSpp.FlyingM,AmaranthusSpp.FlyingM,"Amaranthus spp., FlyingM","Amaranthus spp., FlyingM",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,BOSPP,BOSPP,BOSPP.BarTBar,BOSPP.BarTBar,"local Bouteloua species (unknown), BarTBar","Bouteloua spp., BarTBar",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,FlyingM,BOSPP,BOSPP,BOSPP.FlyingM,BOSPP.FlyingM,"local Bouteloua species (unknown), FlyingM","Bouteloua spp., FlyingM",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,PEFO,BOSPP,BOSPP,BOSPP.PEFO,BOSPP.PEFO,"local Bouteloua species (unknown), PEFO","Bouteloua spp., PEFO",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,Spiderweb,BOSPP,BOSPP,BOSPP.Spiderweb,BOSPP.Spiderweb,"local Bouteloua species (unknown), Spiderweb","Bouteloua spp., Spiderweb",Native,Native,Unknown,Unknown,Grass,Grass
Sonoran SE,SRER,BOUSPP,BOUSPP,BOUSPP.SRER,BOUSPP.SRER,"Bouteloua spp., SRER","Bouteloua spp., SRER",Native,Native,Unknown,Unknown,Grass,Grass
Chihuahuan,Creosote,CHAMA,CHAMA,CHAMA.Creosote,CHAMA.Creosote,"Chamaesyce spp., Creosote","Chamaesyce spp., Creosote",Native,Native,Unknown,Unknown,Forb,Forb
Chihuahuan,Mesquite,CHAMA,CHAMA,CHAMA.Mesquite,CHAMA.Mesquite,"Chamaesyce spp., Mesquite","Chamaesyce spp., Mesquite",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,CHASPP,CHASPP,CHASPP.29_Palms,CHASPP.29_Palms,"Chaenactis spp., 29_Palms","Chamaesyce spp., 29_Palms",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,BabbittPJ,CHEN,CHEN,CHEN.BabbittPJ,CHEN.BabbittPJ,"Unknown chenopod, BabbittPJ","Unknown chenopod, BabbittPJ",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,MOWE,CHEN,CHEN,CHEN.MOWE,CHEN.MOWE,"Unknown chenopod, MOWE","Unknown chenopod, MOWE",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Sonoran Central,Roosevelt,CRYPT,CRYPT,CRYPT.Roosevelt,CRYPT.Roosevelt,"Cryptantha spp., Roosevelt","Cryptantha spp., Roosevelt",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,CRYSPP,CRYSPP,CRYSPP.29_Palms,CRYSPP.29_Palms,"Cryptantha spp., 29_Palms","Cryptantha spp., 29_Palms",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,AVRCD,CRYSPP,CRYSPP,CRYSPP.AVRCD,CRYSPP.AVRCD,"Cryptantha spp., AVRCD","Cryptantha spp., AVRCD",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,AguaFria,ELSPP,ELSPP,ELSPP.AguaFria,ELSPP.AguaFria,"Elymus spp., AguaFria","Elymus spp., AguaFria",Native/Unknown,Native/Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,BabbittPJ,ELSPP,ELSPP,ELSPP.BabbittPJ,ELSPP.BabbittPJ,"Elymus spp., BabbittPJ","Elymus spp., BabbittPJ",Native,Native/Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,FlyingM,ELSPP,ELSPP,ELSPP.FlyingM,ELSPP.FlyingM,"Elymus spp., FlyingM","Elymus spp., FlyingM",Native/Unknown,Native/Unknown,Unknown,Unknown,Grass,Grass
Utah,UtahPJ,ERIGSPP,ERIGSPP,ERIGSPP.UtahPJ,ERIGSPP.UtahPJ,"Unknown ERIG (?), UtahPJ","Unknown ERIG (?), UtahPJ",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Colorado Plateau,BarTBar,ERISP,ERISP,ERISP.BarTBar,ERISP.BarTBar,"Eriogonum spp., BarTBar","Eriogonum spp., BarTBar",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,PEFO,ERISP,ERISP,ERISP.PEFO,ERISP.PEFO,"Eriogonum spp., PEFO","Eriogonum spp., PEFO",Native,Native,Unknown,Unknown,Forb,Forb
Chihuahuan,Creosote,Eriogonum,Eriogonum,Eriogonum.Creosote,Eriogonum.Creosote,"Eriogonum spp., Creosote","Eriogonum spp., Creosote",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,GILSPP,GILSPP,GILSPP.29_Palms,GILSPP.29_Palms,"Gilia spp., 29_Palms","Gilia spp., 29_Palms",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,BabbittPJ,HESP,HESP,HESP.BabbittPJ,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ","Heliomeris spp., BabbittPJ",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,FlyingM,HESP,HESP,HESP.FlyingM,HESP.FlyingM,"Heliomeris spp., FlyingM","Heliomeris spp., FlyingM",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,LEPSPP,LEPSPP,LEPSPP.29_Palms,LEPSPP.29_Palms,"Lepidium spp., 29_Palms","Lepidium spp., 29_Palms",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,AguaFria,LUSPP,LUSPP,LUSPP.AguaFria,LUSPP.AguaFria,"Lupinus spp., AguaFria","Lupinus spp., AguaFria",Native/Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,TLE,MACSPP,MACSPP,MACSPP.TLE,MACSPP.TLE,"Machaeranthera spp., TLE","Machaeranthera spp., TLE",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,MENSPP,MENSPP,MENSPP.29_Palms,MENSPP.29_Palms,"Mentzelia spp., 29_Palms","Mentzelia spp., 29_Palms",Native,Native,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,PECSPP,PECSPP,PECSPP.29_Palms,PECSPP.29_Palms,"Pectocarya spp., 29_Palms","Pectocarya spp., 29_Palms",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,BabbittPJ,PHSPP,PHSPP,PHSPP.BabbittPJ,PHSPP.BabbittPJ,"Phacelia spp., BabbittPJ","Phacelia spp., BabbittPJ",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,PORSPP,PORSPP,PORSPP.BarTBar,PORSPP.BarTBar,"Portulaca spp., BarTBar","Portulaca spp., BarTBar",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,PEFO,PORSPP,PORSPP,PORSPP.PEFO,PORSPP.PEFO,"Portulaca spp., PEFO","Portulaca spp., PEFO",Native,Native,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,SPSP,SPSP,SPSP.BarTBar,SPSP.BarTBar,"Sphaeralcea spp., BarTBar","Sphaeralcea spp., BarTBar",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,FlyingM,SPSP,SPSP,SPSP.FlyingM,SPSP.FlyingM,"Sphaeralcea spp., FlyingM","Sphaeralcea spp., FlyingM",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,TLE,SPSP,SPSP,SPSP.TLE,SPSP.TLE,"Sphaeralcea spp., TLE","Sphaeralcea spp., TLE",Native/Unknown,Native/Unknown,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,STISPP,STISPP,STISPP.29_Palms,STISPP.29_Palms,"Stipa spp., 29_Palms","Stipa spp., 29_Palms",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,BabbittPJ,SUNGR,SUNGR,SUNGR.BabbittPJ,SUNGR.BabbittPJ,"Seeded unknown grass (?), BabbittPJ","Seeded unknown grass, BabbittPJ",Native,Native,Unknown,Unknown,Grass,Grass
Colorado Plateau,TLE,SUNGR,SUNGR,SUNGR.TLE,SUNGR.TLE,"Seeded unknown grass (?), TLE","Seeded unknown grass, TLE",Native,Native,Unknown,Unknown,Grass,Grass
Sonoran SE,SRER,UNDPF,UNDPF,UNDPF.SRER,UNDPF.SRER,"Unknown dead pod forb, SRER","Unknown DPF, SRER",Unknown,Unknown,Unknown,Unknown,Forb,Unknown
Colorado Plateau,Spiderweb,UNFO,UNFO,UNFO.Spiderweb,UNFO.Spiderweb,"Unknown forb, Spiderweb","Unknown forb, Spiderweb",Native,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,FlyingM,UNFO1,UNFO1,UNFO1.FlyingM,UNFO1.FlyingM,"Unknown forb 1, FlyingM","Unknown forb 1, FlyingM",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,MOWE,UNFO1,UNFO1,UNFO1.MOWE,UNFO1.MOWE,"Unknown forb 1, MOWE","Unknown forb 1, MOWE",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,PEFO,UNFO1,UNFO1,UNFO1.PEFO,UNFO1.PEFO,"Unknown forb 1, PEFO","Unknown forb 1, PEFO",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,UNFO12,UNFO12,UNFO12.BarTBar,UNFO12.BarTBar,"Unknown forb 12, BarTBar","Unknown forb 12, BarTBar",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,UNFO13,UNFO13,UNFO13.BarTBar,UNFO13.BarTBar,"Unknown forb 13, BarTBar","Unknown forb 13, BarTBar",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Mojave,29_Palms,UNFO2,UNFO2,UNFO2.29_Palms,UNFO2.29_Palms,"Unknown forb 2, 29_Palms","Unknown forb 2, 29_Palms",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,AguaFria,UNFO2,UNFO2,UNFO2.AguaFria,UNFO2.AguaFria,"Unknown forb 2, AguaFria","Unknown forb 2, AguaFria",Unknown,Unknown,Unknown,Unknown,Forb,Forb
