Region,Site,CodeOriginal,Code,Name,Native,Duration,Lifeform,NeedsItsDuplicate
Sonoran SE,SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,BOCU/BOER4.SRER,"BOCUs, or might be BOER4, SRER",Native,Perennial,Grass,Yes
Sonoran SE,SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,PLJAspp.SRER,"Possibly Pleuraphis jamesii, SRER",Native,Perennial,Grass,Yes
Colorado Plateau,BarTBar,AMASPP,AMASPP.BarTBar,"Amaranthus spp., BarTBar",Native/Unknown,Unknown,Forb,Yes
Colorado Plateau,FlyingM,AMASPP,AMASPP.FlyingM,"Amaranthus spp., FlyingM",Unknown,Unknown,Forb,Yes
Sonoran SE,Patagonia,ARISPP,ARISPP.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass,Yes
Sonoran SE,SRER,ARISPP,ARISPP.SRER,"Aristida spp., SRER",Native,Unknown,Grass,Yes
Chihuahuan,Creosote,ASTRAG,ASTRAG.Creosote,"Astragalus spp., Creosote",Unknown,Unknown,Forb,Yes
Chihuahuan,Mesquite,ASTRAG,ASTRAG.Mesquite,"Astragalus spp., Mesquite",Unknown,Unknown,Forb,Yes
Colorado Plateau,BarTBar,ATSP,ATSP.BarTBar,"Atriplex spp., BarTBar",Native/Unknown,Perennial,Shrub,Yes
Colorado Plateau,FlyingM,ATSP,ATSP.FlyingM,"Atriplex spp., FlyingM",Native/Unknown,Perennial,Shrub,Yes
Colorado Plateau,PEFO,ATSP,ATSP.PEFO,"Atriplex spp., PEFO",Native/Unknown,Perennial,Shrub,Yes
Colorado Plateau,TLE,ATSP,ATSP.TLE,"Atriplex spp., TLE",Native/Unknown,Perennial,Shrub,Yes
Colorado Plateau,AguaFria,BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass,Yes
Colorado Plateau,BabbittPJ,BOSPP,BOSPP.BabbittPJ,"Bouteloua spp., BabbittPJ",Native,Unknown,Grass,Yes
Colorado Plateau,BarTBar,BOSPP,BOSPP.BarTBar,"Bouteloua spp., BarTBar",Native,Unknown,Grass,Yes
Colorado Plateau,FlyingM,BOSPP,BOSPP.FlyingM,"Bouteloua spp., FlyingM",Native,Unknown,Grass,Yes
Colorado Plateau,MOWE,BOSPP,BOSPP.MOWE,"Bouteloua spp., MOWE",Native,Unknown,Grass,Yes
