CodeOriginal,Name,Lifeform
AMDU2,Ambrosia dumosa,Shrub
AMSIN,Amsinckia,Forb
ARNE2,Argythamnia neomexicana,Forb
BOBAB3,Bouteloua barbata v. barbata,Grass
BOER,Bouteloua eriopoda,Grass
BOIN3,Bowlesia incana,Forb
BRDI3,Bromus diandrus,Grass
CACLL,Camissonia claviformis,Forb
CAEXE,Castilleja exserta,Forb
CEME2,Centaurea melitensis,Forb
COAU2,Corydalis aurea,Forb
COEQ,Convolvulus equitans,Forb
DESO2,Descurainia sophia,Forb
DRCU,Draba cuneifolia,Forb
DRCUI,Draba cuneifolia,Forb
ENDE,Enneapogon desvauxii,Grass
ENFA,Encelia farinosa,Shrub
ERAB2,Eriogonum abertianum,Forb
ERCI,Eragrostis cilianensis,Grass
ERCI,Eragrostis ciliaris,Grass
ERER2,Eriastrum eremicum,Forb
ERLA12,Ericameria laricifolia,Shrub
ERTR8,Eriogonum trichopes,Forb
ERVE5,Eruca vesicaria,Forb
ESCAM,Eschscholzia californica,Forb
EUME3,Chamaesyce melanadenia,Forb
GNPA,Gnaphalium palustre,Forb
HAGL,Halogeton glomeratus,Forb
IPLO2,Ipomopsis longiflora,Forb
LIBI2,Linanthus bigelovii,Forb
MAGR10,Machaeranthera gracilis,Forb
MILA6,Mirabilis laevis,Forb
MUPO2,Muhlenbergia porteri,Grass
NAHI,Nama hispidum,Forb
PAMI5,Parkinsonia microphylla,Shrub
PHYSA,Physalis,Forb
PLMU3,Pleuraphis mutica,Grass
PRVE,Prosopis velutina,Shrub
PSSP6,Pseudoroegneria spicata,Grass
SATR12,Salsola tragus,Forb
SATR12,Salsola iberica,Forb
SEBA3,Senna bauhinioides,Forb
SIAL,Sisymbrium altissimum,Forb
SPAI,Sporobolus airoides,Grass
URLI5,Microseris lindleyi,Forb
YUEL,Yucca elata,Shrub
