Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,MonitorID
Colorado Plateau,BarTBar,2018-07-25,2019-04-16,33,ConMod,Med-Warm,1005
Colorado Plateau,Spiderweb,2020-07-21,2021-09-29,29,Mulch,Warm,3234
Utah,UtahPJ,2018-10-29,2019-04-26,29,Mulch,Cool-Med,3951
Utah,UtahPJ,2018-10-29,2019-05-16,29,Mulch,Cool-Med,4025
Utah,UtahPJ,2018-10-29,2019-07-02,29,Mulch,Cool-Med,4244
Utah,UtahPJ,2018-10-29,2019-04-26,34,Control,None,3957
Utah,UtahPJ,2018-10-29,2019-05-16,34,Control,None,4031
Utah,UtahPJ,2018-10-29,2019-05-29,34,Control,None,4140
Utah,UtahPJ,2018-10-29,2019-07-02,34,Control,None,4250
Utah,CRC,2018-10-17,2019-07-24,4,ComMod,Med-Warm,4257
Utah,CRC,2018-10-17,2019-07-24,7,ComMod,Cool-Med,4260
Utah,CRC,2018-10-17,2019-07-24,15,ComMod,Med-Warm,4268
Utah,CRC,2018-10-17,2019-07-24,20,ComMod,Cool-Med,4273
Utah,CRC,2018-10-17,2019-07-24,22,ComMod,Med-Warm,4275
Utah,CRC,2018-10-17,2019-07-24,29,ComMod,Med-Warm,4282
Utah,CRC,2018-10-17,2019-07-24,35,ComMod,Cool-Med,4288
Utah,UtahPJ,2018-10-29,2019-08-06,3,ComMod,Cool-Med,4292
Utah,UtahPJ,2018-10-29,2019-08-06,8,ComMod,Cool,4297
Utah,UtahPJ,2018-10-29,2019-08-06,14,ComMod,Cool-Med,4303
Utah,UtahPJ,2018-10-29,2019-08-06,18,ComMod,Cool,4307
Utah,UtahPJ,2018-10-29,2019-08-06,22,ComMod,Cool-Med,4311
Utah,UtahPJ,2018-10-29,2019-08-06,27,ComMod,Cool,4316
Utah,UtahPJ,2018-10-29,2019-08-06,31,ComMod,Cool-Med,4320
Utah,Salt_Desert,2018-10-31,2019-08-07,4,ComMod,Cool-Med,4329
Utah,Salt_Desert,2018-10-31,2019-08-07,6,ComMod,Med-Warm,4331
Utah,Salt_Desert,2018-10-31,2019-08-07,11,ComMod,Cool-Med,4336
Utah,Salt_Desert,2018-10-31,2019-08-07,16,ComMod,Med-Warm,4341
Utah,Salt_Desert,2018-10-31,2019-08-07,17,ComMod,Cool-Med,4342
Utah,Salt_Desert,2018-10-31,2019-08-07,23,ComMod,Med-Warm,4348
Utah,Salt_Desert,2018-10-31,2019-08-07,28,ComMod,Cool-Med,4353
Utah,Salt_Desert,2018-10-31,2019-08-07,36,ComMod,Med-Warm,4361
