Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
Creosote,Chihuahuan,Warm,ACNA2,ACNA2,Acourtia nana,Native,Perennial,Forb,No
Creosote,Chihuahuan,None,AMCH3,AMCH3,Ammocodon chenopodioides,Native,Perennial,Forb,No
Creosote,Chihuahuan,None,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No
Creosote,Chihuahuan,Warm,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No
Creosote,Chihuahuan,Medium,BAAB,BAAB,Bahia absinthifolia,Native,Perennial,Forb,No
Creosote,Chihuahuan,Medium,BAMU,BAMU,Baileya multiradiata,Native,Unknown,Forb,No
Creosote,Chihuahuan,Medium,BOERH2,BOERH2,Boerhavia,Native,Unknown,Forb,No
Creosote,Chihuahuan,Medium,BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,No
Creosote,Chihuahuan,None,BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,No
Creosote,Chihuahuan,Warm,BOAR,BOAR,Bouteloua aristidoides,Native,Annual,Grass,No
Creosote,Chihuahuan,Warm,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Creosote,Chihuahuan,Medium,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Creosote,Chihuahuan,None,BOBA2,BOBA2,Bouteloua barbata,Native,Annual,Grass,No
Creosote,Chihuahuan,Medium,CHAMA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,Warm,CHAMA,CHAMA.Creosote,"Chamaesyce spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,Medium,Unkcrypt,Unkcrypt.Creosote,"Cryptantha spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,Medium,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
Creosote,Chihuahuan,Warm,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
Creosote,Chihuahuan,None,DAPU7,DAPU7,Dasyochloa pulchella,Native,Perennial,Grass,No
Creosote,Chihuahuan,None,Eriogonum,Eriogonum.Creosote,"Eriogonum spp., Creosote",Native,Unknown,Forb,No
Creosote,Chihuahuan,Warm,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Creosote,Chihuahuan,Medium,KAHI,KAHI,Kallstroemia hirsutissima,Native,Annual,Forb,No
Creosote,Chihuahuan,Warm,LATR2,LATR2,Larrea tridentata,Native,Perennial,Shrub,No
Creosote,Chihuahuan,Medium,LATR2,LATR2,Larrea tridentata,Native,Perennial,Shrub,No
Creosote,Chihuahuan,None,MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb,No
Creosote,Chihuahuan,Medium,MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb,No
Creosote,Chihuahuan,Warm,MOCE,MOCE,Mollugo cerviana,Introduced,Annual,Forb,No
Creosote,Chihuahuan,None,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Creosote,Chihuahuan,Medium,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Creosote,Chihuahuan,Warm,PAHI5,PAHI5,Panicum hirticaule,Native,Annual,Grass,No
Creosote,Chihuahuan,Warm,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Creosote,Chihuahuan,None,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Creosote,Chihuahuan,Medium,SOEL,SOEL,Solanum elaeagnifolium,Native,Perennial,Forb,No
Creosote,Chihuahuan,Medium,TAPO5,TAPO5,Talinum polygaloides,Native,Perennial,Forb,No
Creosote,Chihuahuan,Warm,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Creosote,Chihuahuan,None,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Creosote,Chihuahuan,Medium,TILA2,TILA2,Tidestromia lanuginosa,Native,Annual,Forb,No
Creosote,Chihuahuan,Warm,Unkfabaceae,Unkfabaceae.Creosote,"Unknown fabaceae, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,None,UnkForb1,UnkForb1.Creosote,"Unknown forb 1, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,Warm,Unkforb,Unkforb.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,No
Creosote,Chihuahuan,Warm,Unkforb1,Unkforb1.Creosote,"Unknown forb, Creosote",Unknown,Unknown,Forb,No
