Site,Region,CodeOriginal,Code,Name,Mix,SpeciesSeeded
CRC,Utah,ACMI2,ACMI2,Achillea millefolium,NA,Yes
Salt_Desert,Utah,ACMI2,ACMI2,Achillea millefolium,NA,Yes
UtahPJ,Utah,ACMI2,ACMI2,Achillea millefolium,NA,Yes
SRER,Sonoran SE,BOER4,BOER4,Bouteloua eriopoda,NA,Yes
Salt_Desert,Utah,DACA7,DACA7,Dalea candida,NA,Yes
UtahPJ,Utah,DACA7,DACA7,Dalea candida,NA,Yes
CRC,Utah,ELEL5,ELEL5,Elymus elymoides,NA,Yes
Salt_Desert,Utah,ELEL5,ELEL5,Elymus elymoides,NA,Yes
UtahPJ,Utah,ELEL5,ELEL5,Elymus elymoides,NA,Yes
BabbittPJ,Colorado Plateau,ELSPP,ELSPP.BabbittPJ,"Elymus spp., BabbittPJ",NA,Yes
UtahPJ,Utah,HEBO,HEBO,Hedysarum boreale,NA,Yes
CRC,Utah,HEMU3,HEMU3,Heliomeris multiflora,NA,Yes
Salt_Desert,Utah,HEMU3,HEMU3,Heliomeris multiflora,NA,Yes
UtahPJ,Utah,HEMU3,HEMU3,Heliomeris multiflora,NA,Yes
UtahPJ,Utah,HECO26,HECO26,Hesperostipa comata,NA,Yes
CRC,Utah,KRLA2,KRLA2,Krascheninnikovia lanata,NA,Yes
Salt_Desert,Utah,KRLA2,KRLA2,Krascheninnikovia lanata,NA,Yes
CRC,Utah,LILE,LILE,Leptosiphon lemmonii,NA,Yes
UtahPJ,Utah,LECI4,LECI4,Leymus cinereus,NA,Yes
CRC,Utah,LILE3,LILE3,Linum lewisii,NA,Yes
Salt_Desert,Utah,LILE3,LILE3,Linum lewisii,NA,Yes
UtahPJ,Utah,LILE3,LILE3,Linum lewisii,NA,Yes
Salt_Desert,Utah,PASM,PASM,Pascopyrum smithii,NA,Yes
CRC,Utah,PASM,PASM,Pascopyrum smithii,NA,Yes
UtahPJ,Utah,PASM,PASM,Pascopyrum smithii,NA,Yes
CRC,Utah,PEPA8,PEPA8,Penstemon palmeri,NA,Yes
BarTBar,Colorado Plateau,SARE3,SARE3,Salvia reflexa,NA,Yes
FlyingM,Colorado Plateau,SARE3,SARE3,Salvia reflexa,NA,Yes
CRC,Utah,S-UNFO2,S-UNFO2.CRC,"Seeded unknown forb 2, CRC",NA,Yes
Salt_Desert,Utah,S-UNFO2,S-UNFO2.Salt_Desert,"Seeded unknown forb 2, Salt_Desert",NA,Yes
BabbittPJ,Colorado Plateau,SUNGR,SUNGR.BabbittPJ,"Seeded unknown grass (?), BabbittPJ",NA,Yes
TLE,Colorado Plateau,SUNGR,SUNGR.TLE,"Seeded unknown grass (?), TLE",NA,Yes
CRC,Utah,S-UNGR1,S-UNGR1.CRC,"Seeded unknown grass 1, CRC",NA,Yes
