Site,CodeOriginal,NeedsItsDuplicate,Code,Name,Native,Duration,Lifeform,LocationDependence
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,3 individual ARPUs  and a BOCU,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,3 individual ARPUs  and a BOCU,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
SRER,Medium sized BOCU and ARPU,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Medium sized BOCU and ARPU,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,Yes,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",Yes,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
