Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
SRER,1 BOCU,No,,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,1,PLJAspp,Possibly Pleuraphis jamesii,Native,Perennial,Grass,dependent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,2,BOCU/BOER4,"BOCUs, or might be BOER4",Native,Perennial,Grass,dependent
Patagonia,3 individual ARPUs  and a BOCU,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,3 individual ARPUs  and a BOCU,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,3 small ARPUs 1 on north border of subplot and other 2 in southwest section of plot,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,2,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
SRER,A few possible ARPUs (2 certainty) or other ARsp. (ARTE),No,,ARPUspp,Aristida spp.,Native,Unknown,Grass,dependent
Patagonia,A few possible small SPCR in/around some of the pits,No,,SPCR,Sporobolus cryptandrus,Native,Perennial,Grass,independent
Creosote,ACCH,No,,ACCH,Unknown ACCH,Unknown,Unknown,Unknown,dependent
Spiderweb,ALNI,No,,ALNI,Unknown ALNI,Unknown,Unknown,Unknown,dependent
Patagonia,ARPU a few individuals,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU a few small tufts and 1 taller,No,,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
