Site,Region,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,CodeOriginal,Code,Seeded_Cover,Total_Veg_Cover,raw.row,source,MonitorID
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,31,Mulch,Warm,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),BOCU,1,3,4707,add1,4716
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,31,Mulch,Warm,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),ARPU9,1,3,4707,add1,4716
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,24,Seed,Medium,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,PLJAspp.SRER,TR,3,4700,add1,4709
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,24,Seed,Medium,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,BOCU/BOER4.SRER,TR,3,4700,add1,4709
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,4,Mulch,Warm,3 individual ARPUs  and a BOCU,ARPU9,2,3,4716,add1,4725
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,4,Mulch,Warm,3 individual ARPUs  and a BOCU,BOCU,2,3,4716,add1,4725
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,23,Pits,Warm,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,BOCU,1,4,4699,add1,4708
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,23,Pits,Warm,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,ARPU9,1,4,4699,add1,4708
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,20,ConMod,Warm,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",SECO10,1,99,4768,add1,4777
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,20,ConMod,Warm,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",POSE,1,99,4768,add1,4777
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,3,Pits,Warm,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,ARPU9,4,8,4715,add1,4724
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,3,Pits,Warm,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,BOCU,4,8,4715,add1,4724
