Code,Name,Native,Duration,Lifeform
0,0,0,0,0
AmaranthusSpp,Amaranthus spp.,Unknown,Unknown,Forb
ATCA,ATCA (but not Atriplex?),Unknown,Unknown,Grass
BAHI,Balsamorhiza hookeri,Native,Perennial,Forb
DeadStem,Dead stem,Unknown,Unknown,Forb
ERDI2,Eriastrum diffusum,Native,Annual,Forb
ERIGSPP,ERIG (?) spp.,Unknown,Unknown,Forb
Eriogonum sp.,Erigonum spp.,Native,Unknown,Forb
ERISPP,Eriastrum or Erigonum spp. (?),Native,Unknown,Forb
FESSPP,FES (fescue?) spp.,Unknown,Unknown,Grass
LILE,Leptosiphon lemmonii,Native,Annual,Forb
LUSP,Lupinus sparsiflorus (?),Native,Annual,Forb
NA,0,0,0,0
PAHI7,Oplismenus hirtellus (Panicum hirtellum),Invasive,Perennial,Grass
PHNE3,,,,
S-HEBO,,,,
S-PASM,,,,
S-UNFO2,,,,
S-UNGR1,,,,
S-UNGR2,,,,
S-UNGR3,,,,
S-UNGR4,,,,
S-UNGR5,,,,
SEBA2,,,,
SUNGR,,,,
Trifolium,,,,
UCHEN1,,,,
UCHEN2,,,,
UNFO,,,,
UNFO10,,,,
UNFO11,,,,
UNFO12,,,,
UNFO13,,,,
UNFO14,,,,
UNFO16,,,,
UNFO2A,,,,
UNFO7,,,,
UNFO8,,,,
UNFO9,,,,
UNGR,,,,
UNGR2,,,,
UNGR3,,,,
UNGR4,,,,
UNGR5,,,,
UNK Fuzzy astr,,,,
Unkaster,,,,
UnkForb,,,,
UnkForb1,,,,
