Code,Name,Native,Lifeform
ABPA3,Abutilon parvulum,Native,Forb
ACASPP,Acalypha spp.,Native/Unknown,Forb
ACHY,Achnatherum hymenoides,Native,Grass
ACMI2,Achillea millefolium,Native/Unknown,Forb
ACMIS,Acmispon (Lotus),Native,Forb
ACNA2,Acourtia nana,Native,Forb
ALIN,Allionia incarnata,Native,Forb
AMASPP,Amaranthus spp.,Native/Unknown,Forb
AMBSPP,Ambrosia spp.,Native/Unknown,Forb
AMCH3,Ammocodon chenopodioides,Native,Forb
AMCO3,Ambrosia confertiflora,Native,Forb
AMCO3,Ambrosia confertiflora,Native,Grass
AMDE4,Ambrosia deltoidea,Native,Shrub
AMDU2,Ambrosia dumosa,Native,Shrub
AMMEI2,Amsinckia menziesii,Native,Forb
AMPA,Amaranthus palmeri,Native,Forb
AMSIN,Amsinckia,Native,Forb
AMTE3,Amsinckia tessellata,Native,Forb
AMTO3,Ambrosia tomentosa,Native,Forb
ANCR2,Anoda cristata,Native,Forb
ANOSPP,Anoda spp.,Native,Forb
ARAD,Aristida adscensionis,Native,Grass
ARAD,Aristida adscensionis,Native,Forb
ARFR4,Artemisia frigida,Native,Shrub
ARISPP,Aristida spp.,Native,Grass
ARNE2,Argythamnia neomexicana,Native,Forb
ARPU9,Aristida purpurea,Native,Grass
ARPUP6,Aristida purpurea,Native,Grass
ARSPP,Artemisia spp.,Native/Unknown,Shrub
ARTE3,Aristida ternipes,Native,Grass
ARWA,Aristolochia watsonii,Native,Forb
ASNU4,Astragalus nuttallianus,Native,Forb
ASNU5,Astragalus nuttallii,Introduced,Forb
ASTRAG,Astragalus spp.,Native/Unknown,Forb
ASTSPP,Astragalus spp.,Native/Unknown,Forb
ASTU,Asclepias tuberosa,Native,Forb
ATCA2,Atriplex canescens,Native,Shrub
ATCO,Atriplex confertifolia,Native,Shrub
ATSP,Atriplex spp.,Native/Unknown,Shrub
AVFA,Avena fatua,Introduced,Grass
BAAB,Bahia absinthifolia,Native,Forb
BAMU,Baileya multiradiata,Native,Forb
BOAR,Bouteloua aristidoides,Native,Grass
BOAR,Bouteloua aristoides,Native,Grass
BOBA2,Bouteloua barbata,Native,Grass
BOBAB3,Bouteloua barbata v. barbata,Native,Grass
BOCO,Boerhavia coccinea,Native,Forb
BOCU,Bouteloua curtipendula,Native,Grass
BOCU,Bouteloua curtipendula,Native,Forb
BOER,Bouteloua eriopoda,Native,Grass
BOER4,Bouteloua eriopoda,Native,Grass
BOERH2,Boerhavia,Native,Forb
BOGR2,Bouteloua gracilis,Native,Grass
BOIN,Boerhavia intermedia,Native,Forb
BOIN3,Bowlesia incana,Native,Forb
BORA,Bouteloua radicosa,Native,Grass
BORO2,Bouteloua rothrockii,Native,Grass
BOSI2,Bouteloua simplex,Native,Grass
BOUSPP,Bouteloua spp.,Native,Grass
BRASPP,Brassica spp. (likely DEPI),Native/Unknown,Forb
BRDI3,Bromus diandrus,Introduced,Grass
BRNI,Brassica nigra,Introduced,Forb
BRRU2,Bromus rubens,Introduced,Grass
BRTE,Bromus tectorum,Introduced,Grass
CACI2,Calandrinia ciliata,Native,Forb
CACLL,Camissonia claviformis,Native,Forb
CAEXE,Castilleja exserta,Native,Forb
CALSPP,Calandrinia spp.,Native,Forb
CANU3,Calochortus nuttallii,Native,Forb
CEME2,Centaurea melitensis,Introduced,Forb
CETE5,Ceratocephala testiculata,Introduced,Forb
CHAL11,Chamaesyce albomarginata,Native,Forb
CHAMA,Chamaesyce spp.,Native,Forb
CHASPP,Chaenactis spp.,Native,Forb
CHBR,Chorizanthe brevicornu,Native,Forb
CHCO2,Chamaesaracha coronopus,Native,Forb
CHER2,Chaetopappa ericoides,Native,Forb
CHESPP,Chenopodium spp.,Unknown,Forb
CHFR3,Chenopodium fremontii,Native,Forb
CHHY3,Chamaesyce hyssopifolia,Native,Forb
CHIN2,Chenopodium incanum,Native,Forb
CHPO12,Chamaesyce polycarpa,Native,Forb
CHTE2,Chorispora tenella,Introduced,Forb
CHVI4,Chloris virgata,Native,Grass
CHWA,Chenopodium watsonii,Native,Forb
CLESP,Cleome spp.,Native/Unknown,Forb
CLLU2,Cleome lutea,Native,Forb
COAU2,Corydalis aurea,Native,Forb
COCA5,Conyza canadensis,Native,Forb
COCA8,Coreopsis califonica,Native,Forb
COEQ,Convolvulus equitans,Native,Forb
CRAN4,Cryptantha angustifolia,Native,Forb
CRBA5,Cryptantha barbigera,Native,Forb
CRCO34,Crassula connata,Native,Forb
CRCR3,Cryptantha crassisepala,Native,Forb
CRPO5,Croton pottsii,Native,Forb
