Site,CodeOriginal,NeedsItsDuplicate,DuplicateNum,Code,Name,Native,Duration,Lifeform,LocationDependence
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,1,PLJAspp.SRER,"Possibly Pleuraphis jamesii, SRER",Native,Perennial,Grass,dependent
SRER,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,Yes,2,BOCU/BOER4.SRER,"BOCUs, or might be BOER4, SRER",Native,Perennial,Grass,dependent
Patagonia,3 individual ARPUs  and a BOCU,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,3 individual ARPUs  and a BOCU,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,Yes,2,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
SRER,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",Yes,2,POSE,Poa secunda,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,Yes,3,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,ARPU about 5 individuals and an individual BAMU resprouting at base,Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,2,BAMU,Baileya multiradiata,Native,Unknown,Forb,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,3,PLMU3,Pleuraphis mutica,Native,Perennial,Grass,independent
Patagonia,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",Yes,4,ACHY,Achnatherum hymenoides,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
SRER,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,Yes,2,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,1,ARPU9,Aristida purpurea,Native,Perennial,Grass,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,Yes,3,ERCU2,Eragrostis curvula,Introduced,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
SRER,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,Yes,2,SECO10,Senna covesii,Native,Perennial,Forb,independent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,1,BOCU,Bouteloua curtipendula,Native,Perennial,Grass,independent
Patagonia,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,Yes,2,ARPUspp.Patagonia,"Aristida spp., Patagonia",Native,Unknown,Grass,dependent
Patagonia,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",Yes,1,SECO10,Senna covesii,Native,Perennial,Forb,independent
