Site,Region,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,CodeOriginal,Seeded_Cover,Total_Veg_Cover,raw.row,source,MonitorID
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,31,Mulch,Warm,1 full BOCU (3) in the northwest corner. A couple potentially smaller grazed down ones throughout as well as a couple potential ARPUs (2),1,3,4707,add1,4716
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,24,Seed,Medium,1 Possible PLJA (1 out of 3 on certainty) on south border as well as some BOCUs (might be BOER but probably BOCU or other BOsp.) Mostly grazed,TR,3,4700,add1,4709
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,4,Mulch,Warm,3 individual ARPUs  and a BOCU,2,3,4716,add1,4725
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-03-11T00:00:00Z,23,Pits,Warm,A couple BOCUs and a couple potential BOCU nubs and a possible ARPU,1,4,4699,add1,4708
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,20,ConMod,Warm,"A couple small SECOs mostly near conmods and possiblya young POSE near SE conmod, Also decent size patch (~1% cover) of SECO just near/outside N edge",1,99,4768,add1,4777
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,3,Pits,Warm,A few ARPUs and young BOCUs mostly near/in the south half except for a smaller ARPU in the northwest and a BAMU just north of subplot,4,8,4715,add1,4724
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,15,Mulch,Warm,ARPU about 5 individuals and an individual BAMU resprouting at base,2,6,4727,add1,4736
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,32,Pits,Warm,"ARPU many individuals, BAMU 1 individual, PLMU (2) 1 individual, ACHY (2) 1 individual",2,4,4744,add1,4753
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,2,Seed,Warm,Couple medium sized ARPUs (not completely sure 2/3 on certainty of ID) and a large BOCU right next to the NW plot marker rooted just outside of the plot but some overhangs into the plot,1,96,4750,add1,4759
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,10,Seed,Warm,Couple small to medium ARPUs throughout and a couple small SECOs in N half of the plot typically hidden under/using ERCU as a shade plant,3,75,4794,add1,4803
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-08T00:00:00Z,23,Pits,Warm,Extra large to medium large BOCUs throughout and at least 2 tiny SECO near/in SE pit and NE/subplot pit,10,99,4771,add1,4780
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-03-12T00:00:00Z,2,ConMod,Warm,Large BOCU in the southeast with a few small ones throughout and about 5 ARPUs small to large in size that're mostly near the conmods,3,4,4714,add1,4723
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,16,Pits,Warm,"Medium SECO in/near NW pit with a couple tiny seedlings scattered throughout, medium BAMU in the middle, a few small to medium/large ARPUs sprinkled throughout, possibly a small ACHY in SE section (wirey leaf blades that clasp the stem, hairs at the node, only one seed head but similar to examples)",7,70,4800,add1,4809
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,25,ConMod,Warm,Medium sized BOCU and ARPU,3,90,4773,add1,4782
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-13T00:00:00Z,11,ConMod,Warm,Medium to large ARPUs throughout and a couple small and medium BOCUs near the N conmods and a few teeny tiny SECOs near conmods as well,8,93,4795,add1,4804
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,25,Pits,Warm,"Multiple ARPUs small to large sized throughout, possible ACHY in the SE pit, and a couple teeny tiny SECOs in/around some of the pits",9,70,4809,add1,4818
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-06T00:00:00Z,1,ConMod,Warm,Multiple BOCU's medium-large and a possible medium sized ARPU,4,88,4749,add1,4758
SRER,Sonoran SE,2019-08-09T00:00:00Z,2021-10-09T00:00:00Z,30,Seed,Warm,Multiple med to extra large BOCUs and a few small to large ARPUs,13,80,4778,add1,4787
Patagonia,Sonoran SE,2019-08-09T00:00:00Z,2021-10-14T00:00:00Z,32,Pits,Warm,Multiple medium to extra large ARPUs and large BAMU along the N edge of the plot along with possible tiny seedlings in same pits,10,97,4816,add1,4825
