V1
"Unknown grass 1, AguaFria"
"Unknown grass 2, AguaFria"
"Unknown grass 3, AguaFria"
"Unknown grass, AguaFria"
"Unknown grass 1, BabbittPJ"
"Unknown forb 1, BabbittPJ"
"Unknown grass, BabbittPJ"
"Unknown forb 9, BarTBar"
"Unknown grass, BarTBar"
"Unknown grass, FlyingM"
"Unknown forb, FlyingM"
"Unknown grass 2, MOWE"
"Unknown grass, MOWE"
"Unknown grass 1, PEFO"
"Unknown grass 2, PEFO"
"Unknown grass 3, PEFO"
"Unknown grass, PEFO"
"Unknown forb 2, Spiderweb"
"Unknown forb, Spiderweb"
"Unknown grass, Spiderweb"
"Unknown grass, TLE"
"Unknown forb, Mesquite"
"Unknown grass, Mesquite"
"Unknown shrub; Possible Atriplex canescens, Mesquite"
"Unknown ATCA (but not Atriplex, a grass?), Mesquite"
