AccSpeciesName,DispersalSyndrome28,SeedDryMass26,SLA3117,GerminationRate95,LeafN14,LeafArea3113,LeafArea3114,LeafDryMass55,LeafCN146
Aa sp,0,0,3,0,2,0,0,0,0
Abarema adenophora,0,0,3,0,8,2,2,0,1
Abarema adenophorum,0,0,0,0,0,1,0,0,0
Abarema alexandrae,0,0,0,0,0,1,0,0,0
Abarema auriculata,0,0,0,0,0,0,1,0,0
Abarema barbouriana,0,0,0,0,0,1,0,0,0
Abarema brachystachya,4,0,0,0,2,1,0,0,2
Abarema cochleata,0,0,0,0,0,0,1,0,0
Abarema cochliocarpos,1,0,9,0,0,0,9,18,0
Abarema floribunda,0,0,0,0,0,0,1,0,0
Abarema jupunba,15,14,8,0,20,4,2,1,5
Abarema jupunba var. jupunba,0,0,0,0,5,0,0,22,0
Abarema laeta,0,0,2,0,3,0,1,1,0
Abarema langsdorffii,2,2,0,0,0,0,0,4,0
Abarema langsdorfii,0,0,0,0,0,1,0,0,0
Abarema macradenia,1,8,2,0,2,1,1,1,0
Abarema mataybifolia,0,0,4,0,36,1,1,8,3
Abarema microcaly,0,0,0,0,0,0,1,0,0
Abarema microcalyx,1,1,0,0,1,0,1,0,0
Abarema oppositifolia,1,1,0,0,0,0,0,0,0
Abarema piresii,0,0,0,0,4,0,1,0,0
Abarema racemiflora,0,0,0,0,0,0,1,0,0
Abarema villosa,1,0,0,0,0,0,0,0,0
Abatia americana,1,0,0,0,0,0,0,0,0
Abatia parviflora,0,1,0,0,2,1,0,0,0
Abelmoschus crinitus,2,7,0,3,0,0,0,0,0
Abelmoschus esculentus,7,25,0,4,0,0,0,0,0
Abelmoschus ficulneus,3,9,0,4,0,0,0,0,0
Abelmoschus manihot,3,10,0,0,0,0,0,0,0
Abelmoschus moschatus,2,9,0,0,0,1,0,0,0
Abies alba,33,24,139,0,101,2,150,105,24
Abies amabilis,13,21,13,0,33,0,0,0,0
Abies balsamea,21,31,91,1,443,0,42,2,6
Abies balsamea var. balsamea,1,1,0,0,0,0,0,0,0
Abies borisii-regis_x,1,1,0,0,0,0,0,0,0
Abies bracteata,3,2,0,0,0,0,0,0,0
Abies cephalonica,3,9,2,0,2,0,0,0,0
Abies cilicica,3,3,0,0,0,0,0,0,0
Abies cilicica subsp. isaurica,0,1,0,0,0,0,0,0,0
Abies concolor,20,36,70,0,28,0,26,20,19
Abies concolor subsp. concolor,1,2,0,0,0,0,0,0,0
Abies delavayi subsp. delavayi,1,1,0,0,0,0,0,0,0
Abies fabri,1,1,0,0,0,0,0,0,0
Abies fargesii,1,1,0,0,0,0,0,0,0
Abies firma,12,12,2,0,2,0,0,0,0
Abies forrestii,1,1,0,0,0,0,0,0,0
Abies forrestii var. georgei,1,1,0,0,0,0,0,0,0
Abies fraseri,27,32,37,0,12,0,0,0,1
Abies grandis,15,24,14,0,5,2,1,0,0
Abies guatemalensis,1,3,0,0,0,0,0,0,0
Abies holophylla,1,1,0,0,0,0,0,0,0
Abies homolepis,12,13,0,0,0,0,0,0,0
Abies koreana,1,2,0,1,0,0,0,0,0
Abies lasiocarpa,17,29,114,0,115,2,9,10,18
Abies lasiocarpa var. arizonica,5,5,0,0,0,0,0,0,0
Abies lasiocarpa var. lasiocarpa,6,6,0,0,0,0,0,0,0
Abies magnifica,17,27,0,0,0,0,0,0,0
Abies magnifica var. magnifica,4,4,0,0,0,0,0,0,0
Abies magnifica var. shastensis,6,9,0,0,0,0,0,0,0
Abies mariesii,8,8,0,0,0,0,0,0,0
Abies nephrolepis,0,0,1,0,13,3,1,0,1
Abies nordmanniana,12,12,0,0,0,0,0,0,0
Abies nordmanniana subsp. equi-trojani,2,5,0,0,0,0,0,0,0
Abies nordmanniana subsp. nordmanniana,1,1,0,0,0,0,0,0,0
Abies numidica,3,3,0,0,0,0,0,0,0
Abies pindrow,1,2,0,0,0,0,0,0,0
Abies pinsapo,3,5,2,0,0,0,0,0,0
Abies procera,11,16,6,0,2,0,0,0,0
Abies recurvata var. ernestii,1,1,0,0,0,0,0,0,0
Abies religiosa,4,3,0,0,0,0,0,0,0
Abies sachalinensis,9,10,595,0,595,0,591,5,3
Abies sachalinensis var. gracilis,1,1,0,0,0,0,0,0,0
Abies sachalinensis var. mayriana,1,2,0,0,0,0,0,0,0
Abies sibirica,1,2,0,0,0,0,0,0,0
Abies sp,0,0,0,0,0,1,0,0,0
Abies spectabilis,3,4,63,0,0,0,56,0,0
Abies squamata,1,1,0,0,0,0,0,0,0
Abies veitchii,9,10,0,0,0,0,0,0,0
Abies veitchii var. sikokiana,1,1,0,0,0,0,0,0,0
Abies veitchii var. veitchii,1,1,0,0,0,0,0,0,0
Abies vejarii,1,2,0,0,0,0,0,0,0
Abildgaardia papillosa,1,0,0,0,0,0,0,0,0
Abiu caramuri,0,0,0,0,1,0,0,0,1
Abolboda egleri,2,0,0,0,0,0,0,0,0
Abolboda poarchon,2,0,0,0,0,0,0,0,0
Abolboda pulchella,2,0,0,0,0,0,0,0,0
Abrahamia deflexa,1,1,0,0,0,0,0,0,0
Abrodictyum elongatum,0,0,0,0,0,1,0,0,0
Abrodictyum obscurum,0,0,1,0,0,0,0,0,0
Abroma augustum,2,2,0,0,0,0,0,0,0
Abronia ameliae,1,5,0,0,0,0,0,0,0
Abronia elliptica,0,0,1,0,1,0,0,0,1
Abronia fragrans,1,1,0,2,0,0,0,2,0
Abronia gracilis,1,1,0,0,0,0,0,0,0
Abronia latifolia,3,9,0,0,0,0,0,0,0
Abronia maritima,1,6,0,0,0,0,0,0,0
Abronia nana,1,1,0,0,0,0,0,0,0
Abronia pogonantha,1,6,0,0,0,0,0,0,0
Abronia turbinata,1,5,0,0,0,0,0,0,0
Abronia umbellata,2,11,0,0,0,0,0,0,0
Abronia villosa,3,10,4,0,3,0,0,0,0
Abronia villosa var. aurita,1,6,0,0,0,0,0,0,0
Abronia villosa var. villosa,1,5,0,0,0,0,0,0,0
Abrophyllum ornans,2,11,0,4,0,1,0,0,0
Abrotanella caespitosa,0,0,1,0,0,0,0,0,0
Abrotanella emarginata,2,2,0,0,0,0,0,0,0
Abrotanella forsterioides,1,1,0,0,0,0,0,0,0
Abrotanella inconspicua,1,1,0,0,1,0,0,0,0
Abrotanella nivigena,2,2,0,0,0,0,0,0,0
Abrotanella scapigera,1,1,0,0,0,0,0,0,0
Abrus canescens,0,6,0,6,0,0,0,0,0
Abrus laevigatus,1,7,0,0,0,0,0,0,0
Abrus madagascariensis,1,1,0,0,0,0,0,0,0
Abrus melanospermus subsp. tenuiflorus,3,3,0,0,0,0,0,0,0
Abrus precatorius,22,26,10,7,0,16,0,0,0
Abrus precatorius subsp. africanus,4,10,0,4,0,0,0,0,0
Abrus pulchellus,0,0,0,5,0,0,0,0,0
Abrus pulchellus subsp. tenuiflorus,0,0,0,4,0,0,0,0,0
Abrus sambiranensis,1,1,0,0,0,0,0,0,0
Abrus schimperi subsp. africanus,1,7,0,4,0,0,0,0,0
Abrus schimperi subsp. oblongus,1,7,0,0,0,0,0,0,0
Abrus sp,0,0,0,0,0,3,0,0,0
Abuta grandifolia,5,6,2,0,5,5,1,1,0
Abuta imene,0,0,0,0,0,2,0,0,0
Abuta panamensis,7,0,3,0,3,5,0,0,0
Abuta racemosa,1,5,6,0,3,2,0,5,0
Abuta rufescens,1,0,18,0,24,0,1,0,15
Abuta sp,0,0,0,0,2,0,0,4,1
Abutilon abutiloides,4,11,0,4,0,0,0,0,0
Abutilon anglosomaliae,0,3,0,0,0,0,0,0,0
Abutilon angulatum,6,18,0,10,0,1,0,0,0
Abutilon angulatum var. angulatum,4,10,0,5,0,0,0,0,0
Abutilon auritum,1,7,0,4,0,0,0,0,0
Abutilon austroafricanum,0,0,0,2,0,0,0,0,0
Abutilon bidentatum,2,11,0,0,0,0,0,0,0
Abutilon bivalve,0,6,0,6,0,0,0,0,0
Abutilon cryptopetalum,1,3,0,0,0,1,0,0,0
Abutilon densiflorum,1,0,0,0,1,0,0,0,0
Abutilon dinteri,1,1,0,0,0,0,0,0,0
Abutilon dugesii,3,9,0,4,0,0,0,0,0
Abutilon englerianum,0,6,0,4,0,0,0,0,0
Abutilon fraseri,15,15,6,0,3,3,2,1,0
Abutilon fraseri subsp. fraseri,0,0,1,0,1,0,0,0,0
Abutilon fruticosum,3,9,0,5,0,0,0,0,0
Abutilon glabriflorum,1,7,0,2,0,0,0,0,0
Abutilon grandiflorum,3,9,0,8,0,0,0,0,0
Abutilon grandifolium,2,8,25,4,0,0,25,0,0
Abutilon guineense,2,8,0,4,0,0,0,0,0
Abutilon hannii,1,1,0,4,0,0,0,0,0
Abutilon hirtum,4,10,0,4,0,0,0,0,0
Abutilon inaequilaterum,1,0,0,0,0,0,0,0,0
Abutilon incanum,4,11,10,2,2,0,0,10,0
Abutilon indicum,3,3,1,6,4,0,0,0,0
Abutilon julianae,1,1,0,0,0,0,0,0,0
Abutilon lauraster,1,1,0,0,0,0,0,0,0
Abutilon lepidum,1,7,0,0,0,0,0,0,0
Abutilon leucopetalum,2,8,0,4,0,0,0,0,0
Abutilon longicuspe,3,12,0,5,0,0,0,0,0
Abutilon macvaughii,1,1,0,0,0,0,0,0,0
Abutilon malvifolium,2,2,0,0,0,0,0,0,0
Abutilon mauritianum,2,8,0,4,0,0,0,0,0
Abutilon oxycarpum,4,4,25,0,0,0,25,0,0
Abutilon palmeri,1,1,0,0,0,0,0,0,0
Abutilon pannosum,12,25,0,9,0,0,0,0,0
Abutilon pitcairnense,1,1,0,0,0,0,0,0,0
Abutilon pritzelianum,1,1,0,0,0,0,0,0,0
Abutilon pseudocleistogamum,5,11,0,4,0,0,0,0,0
Abutilon pycnodon,3,9,0,6,0,0,0,0,0
Abutilon ramiflorum,1,0,0,0,0,0,0,0,0
Abutilon ramosum,6,12,0,6,0,0,0,0,0
Abutilon rehmannii,1,1,0,0,0,0,0,0,0
Abutilon sonneratianum,2,8,0,4,0,0,0,0,0
Abutilon sp,0,0,0,0,0,6,0,0,0
Abutilon theophrasti,17,37,6,6,8,0,0,10,4
Abutilon trisulcatum,15,15,0,5,0,0,0,0,0
Abutilon umbelliflorum,1,0,0,0,0,0,0,0,0
Abutilon viscosum,3,10,0,5,0,0,0,0,0
Abutilon xanti,2,2,0,0,0,0,0,0,0
Acacia acanthoclada,1,1,0,0,0,0,0,0,0
Acacia acinacea,5,16,1,4,0,0,0,0,0
Acacia acradenia,9,9,0,4,0,1,0,0,0
Acacia acrionastes,1,7,25,4,0,0,25,0,0
Acacia aculeatissima,1,1,0,0,0,0,0,0,0
Acacia acuminata,4,16,1,6,0,0,0,0,0
Acacia adoxa var. adoxa,1,7,0,0,0,0,0,0,0
Acacia adsurgens,9,9,0,4,0,1,0,0,0
Acacia adunca,6,28,0,8,0,0,0,0,0
Acacia aestivalis,3,15,0,4,0,0,0,0,0
Acacia alata,0,10,0,0,0,0,0,0,0
Acacia alata var. alata,1,1,0,0,0,0,0,0,0
Acacia alata var. platyptera,1,7,0,6,0,0,0,0,0
Acacia alcockii,1,7,0,4,0,0,0,0,0
Acacia alleniana,14,13,0,4,0,1,0,0,0
Acacia allenii,1,10,0,0,0,0,0,0,0
Acacia alpina,2,2,0,0,0,0,0,0,0
Acacia amanda,1,1,0,0,0,0,0,0,0
Acacia amblygona,0,6,25,4,0,0,25,0,0
Acacia amblyophylla,1,1,0,0,0,0,0,0,0
Acacia amentacea,0,0,0,0,0,1,0,0,0
Acacia ammobia,9,10,0,0,0,1,0,0,0
Acacia ampliata,1,1,0,0,0,0,0,0,0
Acacia ampliceps,2,9,0,4,0,0,0,0,0
Acacia anaticeps,1,1,0,0,0,0,0,0,0
Acacia anceps,1,10,0,0,0,0,0,0,0
Acacia ancistrocarpa,3,10,0,0,0,0,0,0,0
Acacia aneura,25,26,27,5,66,7,12,5,0
Acacia aneura var. major,0,6,0,0,0,0,0,0,0
Acacia aneura var. pilbarana,0,6,0,0,0,0,0,0,0
Acacia aneura var. tenuis,0,0,1,0,1,0,0,0,0
Acacia anfractuosa,1,7,0,5,0,0,0,0,0
Acacia anthochaera,1,7,0,4,0,0,0,0,0
Acacia aphylla,2,8,0,0,0,0,0,0,0
Acacia aprepta,1,1,0,4,0,0,0,0,0
Acacia aprica,9,15,0,4,0,0,0,0,0
Acacia aptaneura,1,1,14,0,14,0,5,0,0
Acacia araneosa,1,1,0,0,0,0,0,0,0
Acacia argyrophylla,1,7,1,7,0,0,0,0,0
Acacia arida,1,1,0,0,0,0,0,0,0
Acacia ascendens,1,7,0,6,0,0,0,0,0
Acacia asepala,1,7,0,4,0,0,0,0,0
Acacia asparagoides,1,1,0,0,0,0,0,0,0
Acacia aspera,1,14,0,0,0,0,0,0,0
Acacia aspera subsp. parviceps,1,1,0,0,0,0,0,0,0
Acacia assimilis,1,7,0,6,0,0,0,0,0
Acacia assimilis subsp. atroviridis,2,8,0,0,0,0,0,0,0
Acacia ataxiphylla subsp. magna,4,4,0,0,0,0,0,0,0
Acacia atkinsiana,1,7,0,0,0,0,0,0,0
Acacia atopa,1,1,0,0,0,0,0,0,0
Acacia attenuata,1,1,0,0,0,0,0,0,0
Acacia aulacocarpa,20,23,2,4,2,2,0,0,0
Acacia auratiflora,1,1,0,0,0,0,0,0,0
Acacia aureocrinita,1,7,0,4,0,0,0,0,0
Acacia auriculiformis,5,24,7,5,31,3,0,1,0
Acacia ausfeldii,1,7,0,0,0,0,0,0,0
Acacia awestoniana,2,2,0,0,0,0,0,0,0
Acacia axillaris,1,1,0,0,0,0,0,0,0
Acacia ayersiana,1,1,0,0,0,0,0,0,0
Acacia baeuerlenii,2,8,0,4,0,0,0,0,0
Acacia baileyana,16,16,1,4,0,0,0,0,0
Acacia bakeri,1,7,25,0,0,1,25,0,0
Acacia bancroftiorum,1,1,15,4,0,0,15,0,0
Acacia barattensis,1,1,0,0,0,0,0,0,0
Acacia barrettiorum,1,1,0,0,0,0,0,0,0
Acacia barringtonensis,1,7,0,4,0,0,0,0,0
Acacia baueri subsp. aspera,1,7,0,4,0,0,0,0,0
Acacia beadleana,1,7,0,4,0,0,0,0,0
Acacia beauverdiana,1,7,0,4,0,0,0,0,0
Acacia beckleri,1,10,1,0,2,0,0,0,0
Acacia beckleri subsp. beckleri,1,1,0,0,0,0,0,0,0
Acacia betchei,1,7,0,5,0,0,0,0,0
Acacia bifaria,0,6,0,7,0,0,0,0,0
Acacia binervata,3,15,3,4,0,0,0,0,0
Acacia binervia,1,14,0,4,0,0,0,0,0
Acacia bivenosa,2,8,0,4,0,0,0,0,0
Acacia blakei subsp. diphylla,1,7,0,4,0,0,0,0,0
Acacia blakelyi,4,10,0,8,0,0,0,0,0
Acacia boormanii,3,10,0,4,0,0,0,0,0
Acacia boriensis,0,0,1,0,2,0,0,0,0
Acacia botrydion,1,7,0,5,0,0,0,0,0
Acacia brachybotrya,2,9,5,0,0,2,0,1,0
Acacia brachypoda,1,1,0,0,0,0,0,0,0
Acacia brachystachya,4,16,8,0,1,4,0,3,0
Acacia brassii,1,7,0,4,0,0,0,0,0
Acacia brevispica var. dregeana,0,6,0,4,0,0,0,0,0
Acacia browniana,0,0,0,2,0,0,0,0,0
Acacia browniana var. browniana,1,7,0,4,0,0,0,0,0
Acacia brownii,1,1,2,4,0,0,0,1,0
Acacia brumalis,1,7,0,6,0,0,0,0,0
Acacia brunioides,2,8,25,4,0,0,25,0,0
Acacia bulgaensis,1,1,0,0,0,0,0,0,0
Acacia burbidgeae,2,7,0,4,0,0,0,0,0
Acacia burkei,0,6,0,5,8,0,0,6,1
Acacia burrana,1,1,0,0,0,0,0,0,0
Acacia burrowii,1,7,0,4,0,0,0,0,0
Acacia buxifolia,3,17,25,5,0,0,25,0,0
Acacia buxifolia subsp. buxifolia,1,1,0,0,0,0,0,0,0
Acacia bynoeana,0,0,0,4,0,0,0,0,0
Acacia caerulescens,1,7,0,4,0,0,0,0,0
Acacia caesariata,4,10,0,4,0,0,0,0,0
Acacia caesiella,0,6,0,5,0,0,0,0,0
Acacia calamifolia,5,28,2,11,0,0,0,0,0
Acacia calcicola,1,8,0,0,0,0,0,0,0
Acacia calyculata,8,1,1,4,0,0,1,0,0
Acacia cambagei,3,12,6,5,2,1,1,0,0
Acacia campylophylla,1,7,0,4,0,0,0,0,0
Acacia cana,9,2,2,0,0,1,0,1,0
Acacia cangaiensis,1,7,0,4,0,0,0,0,0
Acacia cardiophylla,3,13,0,5,0,0,0,0,0
Acacia carens,1,7,0,4,0,0,0,0,0
Acacia caroleae,2,8,0,4,0,0,0,0,0
Acacia casia,0,0,0,0,0,1,0,0,0
Acacia catenulata,1,1,0,0,0,0,0,0,0
Acacia cedroides,1,7,0,0,0,0,0,0,0
Acacia celastrifolia,1,7,0,4,0,0,0,0,0
Acacia celsa,0,0,1,0,0,1,0,0,0
Acacia cerastes,1,7,0,0,0,0,0,0,0
Acacia chalkeri,2,11,0,4,0,0,0,0,0
Acacia chapmanii,1,7,0,0,0,0,0,0,0
Acacia chapmanii subsp. australis,1,7,0,7,0,0,0,0,0
Acacia cheelii,1,7,2,4,0,0,0,1,0
Acacia chinchillensis,1,1,0,4,0,0,0,0,0
Acacia chisholmii,1,7,0,4,0,0,0,0,0
Acacia chrysotricha,1,7,0,4,0,0,0,0,0
Acacia cincinnata,2,9,0,4,0,1,0,0,0
Acacia citrinoviridis,2,8,0,0,0,0,0,0,0
Acacia clunies-rossiae,1,1,0,0,0,0,0,0,0
Acacia clydonophora,2,8,0,6,0,0,0,0,0
Acacia cochlearis,1,1,0,0,0,0,0,0,0
Acacia cochlocarpa,2,2,0,0,0,0,0,0,0
Acacia cockertoniana,1,1,0,0,0,0,0,0,0
Acacia cognata,1,7,0,4,0,0,0,0,0
Acacia colei,3,15,0,8,2,0,0,0,0
Acacia colletioides,3,16,14,4,11,5,1,3,0
Acacia complanata,2,9,25,5,0,0,25,0,0
Acacia concurrens,3,13,25,4,0,1,25,0,0
Acacia conferta,4,19,2,9,0,1,0,1,0
Acacia confusa,1,12,1,0,2,0,0,0,1
Acacia congesta subsp. congesta,3,9,0,6,0,0,0,0,0
Acacia congesta subsp. wonganensis,1,7,0,7,0,0,0,0,0
Acacia constablei,1,7,0,5,0,0,0,0,0
Acacia constricta var. paucispina,1,8,0,0,0,0,0,0,0
Acacia continua,2,13,0,0,0,0,0,0,0
Acacia contriva,0,0,4,0,4,0,2,0,0
Acacia coolgardiensis,2,2,0,0,0,0,0,0,0
Acacia coolgardiensis subsp. coolgardiensis,0,6,0,7,0,0,0,0,0
Acacia coriacea,7,10,0,0,6,2,0,0,0
Acacia coriacea subsp. coriacea,2,8,0,0,0,0,0,0,0
Acacia costiniana,1,7,0,4,0,0,0,0,0
Acacia courtii,1,1,0,4,0,0,0,0,0
Acacia covenyi,1,1,0,0,0,0,0,0,0
Acacia cowaniana,1,1,0,0,0,0,0,0,0
Acacia cowleana,4,14,0,4,0,0,0,0,0
Acacia craspedocarpa,2,11,0,0,0,0,0,0,0
Acacia crassa subsp. crassa,1,7,0,0,0,0,0,0,0
Acacia crassicarpa,2,9,1,0,1,1,1,0,0
Acacia crassiuscula,1,10,0,0,0,0,0,0,0
Acacia creatacea,1,7,0,4,0,0,0,0,0
Acacia cremiflora,2,8,0,4,0,0,0,0,0
Acacia crenulata,1,7,0,0,0,0,0,0,0
Acacia cretata,1,1,0,4,0,0,0,0,0
Acacia cultriformis,4,15,2,5,0,1,0,1,0
Acacia cuneifolia,1,7,0,4,0,0,0,0,0
Acacia cupularis,2,14,3,4,2,0,1,0,0
Acacia curranii,3,15,0,5,0,0,0,0,0
Acacia cuspidifolia,1,1,0,0,0,0,0,0,0
Acacia cuthbertsonii,11,10,0,0,0,1,0,0,0
Acacia cuthbertsonii subsp. cuthbertsonii,1,7,0,4,0,0,0,0,0
Acacia cyclops,16,18,34,5,34,0,0,0,0
Acacia cyperophylla,0,3,0,0,0,0,0,0,0
Acacia cyperophylla var. cyperophylla,1,1,0,0,0,0,0,0,0
Acacia dacrydioides,1,1,0,0,0,0,0,0,0
Acacia dallachiana,1,7,0,4,0,0,0,0,0
Acacia dangarensis,2,2,0,0,0,0,0,0,0
Acacia dawsonii,3,16,0,4,0,0,0,0,0
Acacia dealbata,28,31,22,4,17,1,6,0,5
Acacia dealbata subsp. dealbata,1,7,0,5,0,0,0,0,0
Acacia deanei,0,0,2,0,0,1,0,1,0
Acacia deanei subsp. deanei,0,6,0,5,0,0,0,0,0
Acacia deanei subsp. paucijuga,1,8,0,0,0,0,0,0,0
Acacia debilis,1,1,0,0,0,0,0,0,0
Acacia declinata,1,1,0,0,0,0,0,0,0
Acacia decora,3,14,6,5,0,5,0,3,0
Acacia decurrens,9,37,0,4,0,0,0,0,0
Acacia deficiens,1,7,0,6,0,0,0,0,0
Acacia deflexa,1,1,0,0,0,0,0,0,0
Acacia deltoidea,1,1,0,0,0,0,0,0,0
Acacia demissa,1,1,0,0,0,0,0,0,0
Acacia denticulosa,2,2,0,0,0,0,0,0,0
Acacia depressa,2,2,0,0,0,0,0,0,0
Acacia desmondii,12,11,0,0,0,1,0,0,0
Acacia dictyoneura,2,8,0,5,0,0,0,0,0
Acacia dictyophleba,2,2,0,4,0,0,0,0,0
Acacia difficilis,2,11,5,4,4,0,0,0,0
Acacia difformis,2,9,1,4,0,0,0,0,0
Acacia diffusa,4,0,0,0,0,0,0,0,0
Acacia dimidiata,1,3,7,4,8,0,2,0,0
Acacia disparrima,0,0,25,0,0,0,25,0,0
Acacia disparrima subsp. calidestris,1,7,0,4,0,0,0,0,0
Acacia disparrima subsp. disparrima,1,7,0,4,0,0,0,0,0
Acacia distans,1,1,0,0,0,0,0,0,0
Acacia disticha,1,7,0,0,0,0,0,0,0
Acacia dodonaeifolia,1,7,0,6,0,0,0,0,0
Acacia doratoxylon,2,13,25,5,27,6,0,4,0
Acacia dorsenna,1,1,0,0,0,0,0,0,0
Acacia drepanocarpa subsp. latifolia,1,1,0,4,0,0,0,0,0
Acacia drepanophylla,5,7,0,4,0,0,0,0,0
Acacia drummondii,2,13,0,0,0,0,0,0,0
