Region,Site,Date_Seeded,Date_Monitored,Plot,Treatment,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,Count,Height,raw.row,MonitorID,SpeciesSeeded
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,1,Mulch,Med-Warm,0,0,0,0,0,0,0,0,1,1,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,2,Seed,Med-Warm,0,0,0,0,0,0,0,0,2,2,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,3,Control,None,0,0,0,0,0,0,0,0,3,3,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,4,Pits,Med-Warm,0,0,0,0,0,0,0,0,4,4,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,5,Seed,Warm,0,0,0,0,0,0,0,0,5,5,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,6,ConMod,Med-Warm,0,0,0,0,0,0,0,0,6,6,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,7,Mulch,Warm,0,0,0,0,0,0,0,0,7,7,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,8,Seed,Med-Warm,0,0,0,0,0,0,0,0,8,8,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,9,ConMod,Warm,0,0,0,0,0,0,0,0,9,9,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,10,Mulch,Med-Warm,0,0,0,0,0,0,0,0,10,10,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,11,Seed,Warm,0,0,0,0,0,0,0,0,11,11,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,12,ConMod,Med-Warm,0,0,0,0,0,0,0,0,12,12,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,13,Pits,Warm,0,0,0,0,0,0,0,0,13,13,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,14,Control,None,0,0,0,0,0,0,0,0,14,14,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,15,Pits,Med-Warm,0,0,0,0,0,0,0,0,15,15,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,16,Mulch,Warm,0,0,0,0,0,0,0,0,16,16,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,17,Seed,Med-Warm,0,0,0,0,0,0,0,0,17,17,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,18,ConMod,Warm,0,0,0,0,0,0,0,0,18,18,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,19,Seed,Warm,0,0,0,0,0,0,0,0,19,19,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,20,Pits,Warm,0,0,0,0,0,0,0,0,20,20,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,21,ConMod,Med-Warm,0,0,0,0,0,0,0,0,21,21,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,22,Mulch,Med-Warm,0,0,0,0,0,0,0,0,22,22,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,23,Control,None,0,0,0,0,0,0,0,0,23,23,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,24,Mulch,Warm,0,0,0,0,0,0,0,0,24,24,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,25,Pits,Med-Warm,0,0,0,0,0,0,0,0,25,25,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,26,Seed,Med-Warm,0,0,0,0,0,0,0,0,26,26,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,27,ConMod,Warm,0,0,0,0,0,0,0,0,27,27,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,28,Pits,Warm,0,0,0,0,0,0,0,0,28,28,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,29,Mulch,Med-Warm,0,0,0,0,0,0,0,0,29,29,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,30,ConMod,Med-Warm,0,0,0,0,0,0,0,0,30,30,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,31,Pits,Med-Warm,0,0,0,0,0,0,0,0,31,31,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,32,Pits,Warm,0,0,0,0,0,0,0,0,32,32,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,33,Seed,Warm,0,0,0,0,0,0,0,0,33,33,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,34,ConMod,Warm,0,0,0,0,0,0,0,0,34,34,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,35,Control,None,0,0,0,0,0,0,0,0,35,35,0
Colorado Plateau,AguaFria,2018-09-05,2018-09-25,36,Mulch,Warm,0,0,0,0,0,0,0,0,36,36,0
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,1,Mulch,Med-Warm,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,4,6,37,37,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,1,Mulch,Med-Warm,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,47,14,38,37,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,1,Mulch,Med-Warm,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,20,2,39,37,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,2,Seed,Med-Warm,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,1,25,40,38,Yes
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,2,Seed,Med-Warm,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,16,16,41,38,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,2,Seed,Med-Warm,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,11,7,42,38,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,3,Control,None,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,11,13,43,39,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,3,Control,None,BRNI,BRNI,Brassica nigra,Introduced,Annual,Forb,5,3,44,39,No
Colorado Plateau,AguaFria,2018-09-05,2018-10-10,4,Pits,Med-Warm,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,1,16,45,40,Yes
