Code,Name
ACMI2,Achillea millefolium
ELSPP.BabbittPJ,"Elymus spp., BabbittPJ"
SOSP.FlyingM,"Solanum spp., FlyingM"
Unksporob.Mesquite,"Sporobolus spp., Mesquite"
STISPP.29_Palms,"Stipa spp., 29_Palms"
ATCA.Mesquite,"Unknown ATCA (but not Atriplex, a grass?), Mesquite"
UNFO1.BabbittPJ,"Unknown forb 1, BabbittPJ"
UNFO2.Spiderweb,"Unknown forb 2, Spiderweb"
UNFO9.BarTBar,"Unknown forb 9, BarTBar"
UNFO.FlyingM,"Unknown forb, FlyingM"
Unkforb.Mesquite,"Unknown forb, Mesquite"
UNFO.Spiderweb,"Unknown forb, Spiderweb"
UNGR1.AguaFria,"Unknown grass 1, AguaFria"
UNGR1.BabbittPJ,"Unknown grass 1, BabbittPJ"
UNGR1.PEFO,"Unknown grass 1, PEFO"
UNGR2.AguaFria,"Unknown grass 2, AguaFria"
UNGR2.MOWE,"Unknown grass 2, MOWE"
UNGR2.PEFO,"Unknown grass 2, PEFO"
UNGR3.AguaFria,"Unknown grass 3, AguaFria"
UNGR3.PEFO,"Unknown grass 3, PEFO"
UNGR.AguaFria,"Unknown grass, AguaFria"
UNGR.BabbittPJ,"Unknown grass, BabbittPJ"
UNGR.BarTBar,"Unknown grass, BarTBar"
UNGR.FlyingM,"Unknown grass, FlyingM"
UNGR.MOWE,"Unknown grass, MOWE"
Unkgrass.Mesquite,"Unknown grass, Mesquite"
UNGR.PEFO,"Unknown grass, PEFO"
UNGR.Spiderweb,"Unknown grass, Spiderweb"
UNGR.TLE,"Unknown grass, TLE"
UnkATCA.Mesquite,"Unknown shrub; Possible Atriplex canescens, Mesquite"
