CodeOriginal,Name,Lifeform
AMDU2,Ambrosia dumosa,NA
AMSIN,Amsinckia,NA
ARNE2,Argythamnia neomexicana,NA
BOBAB3,Bouteloua barbata v. barbata,NA
BOER,Bouteloua eriopoda,NA
BOIN3,Bowlesia incana,NA
BRDI3,Bromus diandrus,NA
CACLL,Camissonia claviformis,NA
CAEXE,Castilleja exserta,NA
CEME2,Centaurea melitensis,NA
COAU2,Corydalis aurea,NA
COEQ,Convolvulus equitans,NA
DESO2,Descurainia sophia,NA
DRCU,Draba cuneifolia,NA
DRCUI,Draba cuneifolia,NA
ENDE,Enneapogon desvauxii,NA
ENFA,Encelia farinosa,NA
ERAB2,Eriogonum abertianum,NA
ERCI,Eragrostis cilianensis,NA
ERCI,Eragrostis ciliaris,NA
ERER2,Eriastrum eremicum,NA
ERLA12,Ericameria laricifolia,NA
ERTR8,Eriogonum trichopes,NA
ERVE5,Eruca vesicaria,NA
ESCAM,Eschscholzia californica,NA
EUME3,Chamaesyce melanadenia,NA
GNPA,Gnaphalium palustre,NA
IPLO2,Ipomopsis longiflora,NA
LIBI2,Linanthus bigelovii,NA
MILA6,Mirabilis laevis,NA
MUPO2,Muhlenbergia porteri,NA
NAHI,Nama hispidum,NA
PAMI5,Parkinsonia microphylla,NA
PHYSA,Physalis,NA
PLMU3,Pleuraphis mutica,NA
PRVE,Prosopis velutina,NA
PSSP6,Pseudoroegneria spicata,NA
SEBA3,Senna bauhinioides,NA
SIAL,Sisymbrium altissimum,NA
SPAI,Sporobolus airoides,NA
URLI5,Microseris lindleyi,NA
YUEL,Yucca elata,NA
